CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION,Label
6f70b2a0a796d52ec15bff2d5cd7e377f02ad36c0aca1d5147a80ec6b4f56585aaa7edc3d414b069f3035d1f818be39f06ec97ace309f85c46bcb0fa7e6676df,,2022-06-15 10:00:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,"CURVE, LEVEL",DRY,NO INJURY / DRIVE AWAY,STOCKTON DR,41.9315414906,-87.6388473962,POINT (-87.638847396161 41.931541490558),"{'Mode': 'rental', 'Type': 'classic_bike'}"
d03d43c1747c8cc03795a6e6283c175f2f809bec085058c2273729d0ed6bc93d577941c24d5aa8619524f31548e6001a5293048b2f1b2b9308ec46f884bd01af,,2022-06-20 16:37:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,FULLERTON DR,41.9260404634,-87.6311036592,POINT (-87.631103659168 41.926040463404),"{'Mode': 'rental', 'Type': 'docked_bike'}"
06194726475bf51e5918745b6d24e8465b6147f958d15a6e0d164dc42da4e69da2d8be4a4bacae5f6cb27a14c08702c329bf3e91d6f440751af977d68b0e94cf,,2022-06-28 12:25:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WILSON AVE,41.9652825804,-87.6580082008,POINT (-87.658008200782 41.965282580419),"{'Mode': 'rental', 'Type': 'classic_bike'}"
49591a1cae737eea5bf68b847b436d7be008fd214f77735848938c7ac0b70a5df000ea6809f39553ba2187a1d89752dfdf65555c8d269b3a00bf33651df5013d,,2022-06-28 17:25:00,25,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9732070442,-87.6678987352,POINT (-87.667898735233 41.973207044233),"{'Mode': 'rental', 'Type': 'classic_bike'}"
3860a5b5562de89bbe0fab8b696130b01b98b783fbf37a5fa3bf0bd364123ff9d1ae56040880745c8f1a21d70bf73d0a716318f1222f5a00d9681e87acd34ddb,,2022-07-09 19:15:00,30,UNKNOWN,UNKNOWN,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,HALSTED ST,41.8649598981,-87.6469999206,POINT (-87.646999920609 41.864959898061),"{'Mode': 'rental', 'Type': 'classic_bike'}"
e0f6ee7182cae8fa4a61e82be7769e67f90d4280385b7582c49479d3e027e203f92069aba0e173544debd023926980510f1a1a0cc211df659f462b4a6fdcf705,,2022-07-12 16:00:00,30,CLEAR,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,HALSTED ST,41.9502903792,-87.6497315231,POINT (-87.649731523109 41.950290379189),"{'Mode': 'rental', 'Type': 'electric_bike'}"
de64b65362961a73768c098cfd8ebf27e1c8ec8538dc131d9769eb770791334ec7a1c3ffcf367e67d06364db1d1982b4d0f8bba7242b2f6e0bb037c5ebb4d1bd,,2022-07-17 16:00:00,30,UNKNOWN,UNKNOWN,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,RACINE AVE,41.9326676649,-87.6585672794,POINT (-87.658567279363 41.932667664936),"{'Mode': 'rental', 'Type': 'electric_bike'}"
830942d4cafa993166be760b0eb805b3ba75fc32e87682db7f07f473b67d067663643a4aa0f60742a77965337b5024a71089b77a371389b7e81e008ee846d9e9,,2022-07-17 16:40:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,SHERIDAN RD,41.9618230715,-87.6548960832,POINT (-87.654896083223 41.961823071539),"{'Mode': 'rental', 'Type': 'classic_bike'}"
4b46a5a5a1ef48435bd781ac8456d6e97bdb538e15bc28bebe184b2690ea37a5d73db7ea77c8e6f528f3cace73d22b2f5d5ab25cca21421d1d8cb14f08623f24,,2022-08-06 14:05:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DAMEN AVE,41.9094312312,-87.6772894524,POINT (-87.677289452382 41.909431231176),"{'Mode': 'rental', 'Type': 'classic_bike'}"
6adeddcfd7ac94c125524c82e5279b8cd448a85c1858029fb6bac6d2f7b324019c64d0724c2ef52221a488ea54f71e2463bc39513390a8176be5dcb6e347fe8c,,2022-08-09 21:20:00,30,CLEAR,DARKNESS,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DAMEN AVE,41.8549037841,-87.6760660362,POINT (-87.676066036226 41.854903784127),"{'Mode': 'rental', 'Type': 'electric_bike'}"
