CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
1902840,d897b7f9f7fa0b60c1ed5f98e036580a416cccda030ec47728483a0a9c5eca2cafc54a4af87d239daaf06f3264ed50fbf4cca85f561c46a343e42242dc74054d,09/09/2024 03:40:00 PM,1,DRIVER,,1812769,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,NONE,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,N,PASSING/OVERTAKING,,,1,,,,,,,,,,,,,,Y,,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903494,a65828a8a33f3b616a458bc5607db081d6e356074cbf242449ab2484d11ad264226c2d19c17f3448f62386457e2b02fd691aed0a981ba558f96bcdd2ed70cbc3,09/08/2024 09:30:00 PM,3,PARKED,,1813369,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,S,PARKED,,,0,,,,,,,,,,Y,,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899245,3aab36fdcb890d6d6440fbc5d54e3e85dbaadd8449b72ff01fb667d3a2b6caca9903c1d2d8be3467d40b2f791477ef6da6b082598b3b7935b5a8530ed8c90e49,09/04/2024 12:30:00 PM,2,DRIVER,,1809343,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,2019,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,UNKNOWN,STRAIGHT AHEAD,,,1,,,,,,,,,,,Y,Y,Y,Y,Y,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897277,156083c66171082138fa313deb93200c40a8291c96a2a8d7ff9840d5fc809b4747b7a448b7c01a27d203e3fa45ea50d7f79ede164634b78662ce4243de9a7015,09/01/2024 04:03:00 PM,1,DRIVER,,1807476,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,2022,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,S,PASSING/OVERTAKING,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895509,769a7b00b3e125e009ffd8e078dc8762601fe087b9d806cd71486c0fa84ae811c779e9d40db2c96d8a86cbc401d42dedcaca44f1e02ebc7285e204fd88aafff8,08/30/2024 10:20:00 AM,1,DRIVER,,1805778,,HONDA,OTHER (EXPLAIN IN NARRATIVE),IL,2011,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895228,313c95fc9acb1d85bc25a72e5b8c908ae4260197132f821b91ec8fe6c0e64d648c8d7a7c618be2f863e3d5859bf0b5a9994f22dd6024119862da244c65874c2b,08/29/2024 10:43:00 PM,2,DRIVER,,1805520,,YAMAHA,OTHER (EXPLAIN IN NARRATIVE),IL,2004,NONE,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,SW,SLOW/STOP IN TRAFFIC,,,1,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894554,8fb42da0e7e04ceb0e1c3a31c0995b831fd6e37b13aa7d5b8aef7025f988742d9adb7dbdc5a05775610ef8e8b0477601d75f1cf25de40f0cc79a0317351472f5,08/29/2024 07:49:00 AM,2,DRIVER,,1804888,,YAMAHA,OTHER (EXPLAIN IN NARRATIVE),IL,2000,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,NW,STRAIGHT AHEAD,,,1,,,,,Y,Y,Y,,,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894771,810c30b3c5654a1112c6bae9774f3779a6ec1ada51105e8070a610d809c8184759ce930ad390477d51fbc0c24f1e7fe640cec7d7f340615cc4fc74c3436bf78b,08/28/2024 05:00:00 PM,2,DRIVER,,1805088,,UNKNOWN,MOTORIZED,IL,2017,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,Y,Y,Y,Y,Y,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894116,ca7f7444ba698b43693a849cd54c350a896d2d39f328cd6dc3fb11c9eb2fdc19bd0eea12f564b6341e59ac4c5ff795c9f56686e37b074ab83d742f04ac11346f,08/28/2024 12:58:00 PM,1,DRIVER,,1804457,,UNKNOWN,MOTORIZED,IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,W,TURNING RIGHT,,,1,,,,,Y,Y,,,,,,,,,,Y,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893538,13daf74f087a8816c95eecdf8e9865fb7a63cbf99e3702baa6e2fc813d16fe30784c83beed4e8d438b1af3a1e922f8bf6322ed17ed3322cb6dcb097db282fe98,08/27/2024 05:15:00 PM,1,DRIVER,,1803894,,"GENERAL MOPED COMPANY (NEW YORK, NY)","GENERAL MOPED CO., NEW YORK, NY",IL,2008,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,E,STRAIGHT AHEAD,N,,1,,,,Y,,,,,,,,,,,,,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
